Fecha,Notas,ID,Nombre del Elemento,Precio,Unidades,Precio Unitario,Costo U,Tipo,Forma de pago,Costo Total,Margen
01/01,Test después de limpieza ultra-agresiva,TEST003,Producto Test Limpieza Fantasma,$75.00,1,$75.00,Sin stock,,Efectivo,$75.00,$75.00
01/01,Test después del fix,TEST004,Producto Test Fix,$100.00,1,$100.00,Sin stock,,Efectivo,$100.00,$100.00
01/01,Test sin expandir,TEST005,Producto Test Sin Expandir,$150.00,1,$150.00,Sin stock,,Efectivo,$150.00,$150.00
01/01,Test sin expandir,TEST006,Producto Test Sin Expandir,$200.00,1,$200.00,Sin stock,,Efectivo,$200.00,$200.00
01/01,Test final,TEST007,Producto Test Final,$250.00,1,$250.00,Sin stock,,Efectivo,$250.00,$250.00
01/01,Test columnas libres,TEST008,Producto Test Columnas Libres,$300.00,1,$300.00,Sin stock,,Efectivo,$300.00,$300.00
01/01,Test formato corregido,TEST009,Producto Test Formato,$350.00,1,$350.00,Sin stock,,Efectivo,$350.00,$350.00
01/01,Test final después de correcciones,TEST010,Producto Test Final,$400.00,1,$400.00,Sin stock,,Efectivo,$400.00,$400.00
01/01,Test en nueva hoja,TEST012,Producto Test Nueva Hoja,$600.00,1,$600.00,Sin stock,,Efectivo,$600.00,$600.00
23/08,13,A2,Aritos Rango de precio 2,$13.00,13,$13.00,Sin stock,,Efectivo,$169.00,$169.00
23/08,13,A2,Aritos Rango de precio 2,$13.00,13,$13.00,Sin stock,,Efectivo,$169.00,$169.00
23/08,ZENTRA!!,A1,Aritos Rango de precio 1,$333.00,3,$333.00,Sin stock,,Efectivo,$999.00,$999.00
01/01,Test escritura completa,TEST014,Producto Test Completo,$800.00,1,$800.00,Sin stock,,Efectivo,$800.00,$800.00
23/08,Por favor que ande,A1,Aritos Rango de precio 1,$25.00,25,$25.00,Sin stock,,Transferencia,$625.00,$625.00
01/01,Test FINAL completo,TEST015,Producto Test FINAL,$900.00,2,$900.00,Sin stock,,Débito,"$1,800.00","$1,800.00"
23/08,QUE ANDE QUE ANDE,AN2,Anillos Rango de precio 2,$999.00,9,$999.00,Sin stock,,Efectivo,"$8,991.00","$8,991.00"
01/01,Test columna por columna,TEST017,Producto Test Columna,$850.00,5,$850.00,Sin stock,,Efectivo,"$4,250.00","$4,250.00"
01/01,Test update_cell,TEST018,Producto Test Update Cell,$950.00,6,$950.00,Sin stock,,Débito,"$5,700.00","$5,700.00"
01/01,TEST FINAL COMPLETO,FINAL001,Producto FINAL COMPLETO,"$1,200.00",7,"$1,200.00",Sin stock,,Mercado Pago,"$8,400.00","$8,400.00"
23/08,Ultimo test,CI3,Cintos Rango de precio 3,$44.00,4,$44.00,Sin stock,,Efectivo,$176.00,$176.00
23/08,Ultimo test,CI3,Cintos Rango de precio 3,$44.00,4,$44.00,Sin stock,,Efectivo,$176.00,$176.00
24/08,24/08,A3,Aritos Rango de precio 3,$200.00,1,$200.00,Sin stock,,Efectivo,$200.00,$200.00
15/01,Prueba de campos,TEST001,Producto de Prueba,$25.50,3,$25.50,Sin stock,,Credito,$76.50,$76.50
24/08,Test1,A1,Aritos Rango de precio 1,$1.00,1,$1.00,Sin stock,,Credito,$1.00,$1.00
24/08,111,A2,Aritos Rango de precio 2,$111.00,111,$111.00,Sin stock,,Efectivo,"$12,321.00","$12,321.00"
24/08,2,CI2,Cintos Rango de precio 2,$2.00,2,$2.00,Sin stock,,Efectivo,$4.00,$4.00
24/08,212121,V1,Varios Rango de precio 1,$78.00,43,$78.00,Sin stock,,Credito,"$3,354.00","$3,354.00"
24/08,Zentra C,P1,Pulsera Rango de precio 1,$250.00,250,$250.00,Sin stock,,Debito,"$62,500.00","$62,500.00"
24/08,1,AN1,Anillos Rango de precio 1,$1.00,1,$1.00,Sin stock,,Efectivo,$1.00,$1.00
24/08,2,CI1,Cintos Rango de precio 1,$2.00,2,$2.00,Sin stock,,Credito,$4.00,$4.00
24/08,2,A2,Aritos Rango de precio 2,$2.00,2,$2.00,Sin stock,,Credito,$4.00,$4.00
24/08,1,AP1,Accesorios p/pelo Rango de precio 1,$1.00,1,$1.00,Sin stock,,Efectivo,$1.00,$1.00
24/08,1,A1,Aritos Rango de precio 1,$1.00,1,$1.00,Sin stock,,Credito,$1.00,$1.00
24/08,Test,A2,Aritos Rango de precio 2,$2.00,2,$2.00,Sin stock,,Efectivo,$4.00,$4.00
24/08,Test2,CA1,Carteras/Piedras Rango de precio 1,$2.00,2,$2.00,Sin stock,,Credito,$4.00,$4.00
24/08,Test3,G3,Gafas Rango de precio 3,$2.00,2,$2.00,Sin stock,,Debito,$4.00,$4.00
24/08,Test4,V2,Varios Rango de precio 2,$2.00,2,$2.00,Sin stock,,Debito,$4.00,$4.00
24/08,Test4.1,V2,Varios Rango de precio 2,$2.00,2,$2.00,Sin stock,,Debito,$4.00,$4.00
24/08,Test5,R3,Ropa y Neceseres Rango de precio 3,$2.00,222,$2.00,Sin stock,,Efectivo,$444.00,$444.00
24/08,Prueba 1,A3,Aritos Rango de precio 3,$1.00,1,$1.00,Sin stock,,Efectivo,$1.00,$1.00
24/08,Prueba 2,AN3,Anillos Rango de precio 3,$2.00,2,$2.00,Sin stock,,Credito,$4.00,$4.00
24/08,Prueba 3,C1,Collar Rango de precio 1,$3.00,3,$3.00,Sin stock,,Debito,$9.00,$9.00
24/08,3,CI1,Cintos Rango de precio 1,$2.00,2,$2.00,Sin stock,,Credito,$4.00,$4.00
24/08,3,CI1,Cintos Rango de precio 1,$2.00,2,$2.00,Sin stock,,Credito,$4.00,$4.00
24/08,Prueba 250mil,R3,Ropa y Neceseres Rango de precio 3,$1.00,1,$1.00,Sin stock,,Debito,$1.00,$1.00
24/08,Prueba espero que ultima,R3,Ropa y Neceseres Rango de precio 3,$2.00,2,$2.00,Sin stock,,Efectivo,$4.00,$4.00
24/08,Prueba espero que ultima,R3,Ropa y Neceseres Rango de precio 3,$2.00,2,$2.00,Sin stock,,Efectivo,$4.00,$4.00
24/08,Aaaaa,R1,Ropa y Neceseres Rango de precio 1,$1.00,1,$1.00,Sin stock,,Debito,$1.00,$1.00
24/08,Me voy!!,CA3,Carteras/Piedras Rango de precio 3,$2.00,2,$2.00,Sin stock,,Credito,$4.00,$4.00
24/08,Me voy!!,CA3,Carteras/Piedras Rango de precio 3,$2.00,2,$2.00,Sin stock,,Credito,$4.00,$4.00
24/08,25,A2,Aritos Rango de precio 2,$25.00,25,$25.00,Sin stock,,Efectivo,$625.00,$625.00
24/08,2,AN2,Anillos Rango de precio 2,$2.00,2,$2.00,Sin stock,,Credito,$4.00,$4.00
24/08,Hola Matias!,C2,Collar Rango de precio 2,$20.00,3,$20.00,Sin stock,,Credito,$60.00,$60.00
24/08,tset,A2,Aritos Rango de precio 2,$2.00,1,$2.00,Sin stock,,Efectivo,$2.00,$2.00
24/08,hola tute,C1,Collar Rango de precio 1,"$2,323.00",32323,"$2,323.00",Sin stock,,Efectivo,"$75,086,329.00","$75,086,329.00"
24/08,dfsdf,C1,Collar Rango de precio 1,"$22,323.00",33,"$22,323.00",Sin stock,,Efectivo,"$736,659.00","$736,659.00"
24/08,Hola Matias,CI3,Cintos Rango de precio 3,$250.00,250,$250.00,Sin stock,,Credito,"$62,500.00","$62,500.00"
24/08,HOla matute de nuevo,AP1,Accesorios p/pelo Rango de precio 1,$2.00,2,$2.00,Sin stock,,Efectivo,$4.00,$4.00
25/08,Carterita,CA3,Carteras/Piedras Rango de precio 3,"$25,000.00",2,"$25,000.00",Sin stock,,Debito,"$50,000.00","$50,000.00"
25/08,Anillo,AN3,Anillos Rango de precio 3,"$2,300.00",4,"$2,300.00",Sin stock,,Credito,"$9,200.00","$9,200.00"
25/08,Test Debito,A3,Aritos Rango de precio 3,$23.00,23,$23.00,Sin stock,,Débito,$529.00,$529.00
25/08,"Test ""VALUE""",AN2,Anillos Rango de precio 2,$23.00,23,$23.00,Sin stock,,Credito,$529.00,$529.00
25/08,Test Value,AN2,Anillos Rango de precio 2,23.0,232,23.0,Sin stock,,Efectivo,5336.0,5336.0
25/08,Test Value,AN2,Anillos Rango de precio 2,23.0,232,23.0,Sin stock,,Efectivo,5336.0,5336.0
26/08,Test Trasnferencia,R1,Ropa y Neceseres Rango de precio 1,23.0,23,23.0,Sin stock,,Transferencia,529.0,529.0
26/08,Test Resp,A2,Aritos Rango de precio 2,23.0,21,23.0,Sin stock,,Efectivo,483.0,483.0
26/08,Test Resp,A2,Aritos Rango de precio 2,23.0,21,23.0,Sin stock,,Credito,483.0,483.0
06/11/2025,25,Indumentaria,25,,1.0,1.0,0.99,1,Débito
06/11/2025,asdasd,Produccion Propia,Otro,,0.79,21.0,6.87,11,Credito
06/11/2025,Cliente: Carlos. Items: 3. 2 x1 $2.0; 2 x1 $2.0; Otro x11 $8.69. asdasd,Conjunto,Ticket Carlos,,12.69,0.0,12.69,1,Credito
06/11/2025,1,Produccion Propia,Aritos,,1.0,1.0,0.99,1,Efectivo
06/11/2025,1,Produccion Propia,Pulsera,,1.0,1.0,0.99,1,Efectivo
06/11/2025,1,Indumentaria,222,,1.0,1.0,0.99,1,Efectivo
06/11/2025,Cliente: Roman | Items: 4 | Detalle: Aritos x1 $1.0; Aritos x1 $1.0; Aritos x1 $1.0; Aritos x1 $1.0. 1,Conjunto,Ticket Roman,,4.0,0.0,4.0,1,Efectivo
06/11/2025,Cliente: Mateo | Items: 2 | Detalle: Aritos x1 $1.0; Aritos x1 $1.0.,Conjunto,Ticket Mateo,,2.0,0.0,2.0,1,Efectivo
06/11/2025,,Indumentaria,1,,1.0,1.0,0.99,1,Efectivo
06/11/2025,Cliente: Carlos | Items: 2 | Detalle: 1 x1 $0.99 - 1; 2 x2 $3.92 - Cacatua dorada con esmalte de oro.,Conjunto,Ticket Carlos,,4.91,0.0,4.91,1,Efectivo
06/11/2025,Cliente: Carlos | Items: 1 | Detalle: Aritos x5 $750.0 - Robertito.,Conjunto,Ticket Carlos,,750.0,0.0,750.0,1,Débito
06/11/2025,Cliente: Carlos | Items: 2 | Detalle: Collar x1 $2.0 - cacacacacacaca; Pulsera x2 $3.92 - CACACACACACAC.,Conjunto,Ticket Carlos,,5.92,0.0,5.92,1,Débito
07/11/2025,"Cliente: Carlos
Items: 1
Detalle: Mates x1 $1.0 - 1",Conjunto,Ticket Carlos,,1.0,0.0,1.0,1,Efectivo
08/11/2025,"Cliente: 2
Items: 1
Detalle: Aros x2 $4.0 - 2",Conjunto,Ticket 2,,4.0,0.0,4.0,1,Efectivo
08/11/2025,"Cliente: Carlos
Items: 2
Detalle: Mates x1 $1.0 - 1
Detalle: Abanicos x2 $4.0 - 2",Conjunto,Ticket Carlos,,5.0,0.0,5.0,1,Efectivo
07/11/2025,"Items: 1
Detalle: Llaveros x2 $4.0 - 2
2",Conjunto,Ticket Carlos,,4.0,0.0,4.0,1,Efectivo
07/11/2025,"Items: 2
Detalle: Llaveros x2 $4.0 - 2
Detalle: Collares x1 $1.0 - 1",Conjunto,Ticket Carlos,,5.0,0.0,5.0,1,Efectivo
07/11/2025,"Items: 1
Detalle: Cintos x2 $4.0 - 2",Conjunto,Ticket Cliente 8,,4.0,0.0,4.0,1,Efectivo
09/11/2025,"Items: 1
Detalle: Pulseras x3 $9.0 - 3",Conjunto,Ticket Cliente 9,,9.0,0.0,9.0,1,Efectivo
07/11/2025,"Items: 2
Detalle: Llaveros x2 $4.0 - 2
Detalle: Collares x1 $2.0 - 1
2",Conjunto,Ticket Carlos,,6.0,0.0,6.0,1,Efectivo
07/11/2025,"Items: 1
Detalle: Escarapela x2 $4.0 - Lauro Damare",Conjunto,Ticket Lauro Damare,,4.0,0.0,4.0,1,Efectivo
07/11/2025,"Items: 1
Detalle: Collares x2 $2000.0 - 2",Conjunto,Ticket Cliente 10,,2000.0,0.0,2000.0,1,Efectivo
07/11/2025,"Items: 1
Detalle: Aritos x5 $25.0 - 5",Conjunto,Ticket Mateo,,25.0,0.0,25.0,1,Efectivo
07/11/2025,"Items: 1
Detalle: Escarapela x3 $9.0 - 3",Conjunto,Ticket 3,,9.0,0.0,9.0,1,Efectivo
07/11/2025,"Items: 2
Detalle: Escarapela x3 $9.0 - 3
Detalle: Chaulata x3 $9.0 - 3
3",Conjunto,Ticket 3,,18.0,0.0,18.0,1,Efectivo
